bedrooms,type,location,area,bathrooms,parking,price
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
3.0,house,Claremont,321.0,1,3,3395000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
3.0,house,Maitland,357.0,2,1,1850000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
3.0,house,Claremont,321.0,1,3,3395000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
3.0,house,Tokai,1.0,3,2,3795000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,401.0,2,3,3595000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
3.0,house,Tokai,1.0,3,2,3795000.0
3.0,house,Seawinds,261.0,1,4,720000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Maitland,357.0,2,1,1850000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
